"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Aulacoseira.alpigena.Ca+Fe+waterT","Ca+Fe+waterT","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.360265137248,404.50936770393,0.35569,NA,17,8,0,0,0.117,0.117,1,0,0,0,1,1,0,0,0,0,0,0,0
"Aulacoseira.alpigena.Ca+Fe+secchi_m","Ca+Fe+secchi_m","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.854953417432,405.004055984113,0.32216,NA,17,9,0.495,0.495,0.092,0.092,1,0,0,0,1,0,0,0,1,0,0,0,0
"Aulacoseira.alpigena.Ca+Fe+wetland","Ca+Fe+wetland","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(wetland, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",395.916772349672,405.065874916353,0.32736,NA,17,9,0.557,0.557,0.089,0.089,1,0,0,0,1,0,0,0,0,0,0,1,0
"Aulacoseira.alpigena.Fe+mix_event+Zmax_m","Fe+mix_event+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.221199694699,405.370302261381,0.20346,NA,17,5,0.861,0.861,0.076,0.076,0,0,0,0,1,0,0,1,0,1,0,0,0
"Aulacoseira.alpigena.K+mix_event+Zmax_m","K+mix_event+Zmax_m","s(K, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",396.689620054399,405.83872262108,0.216,NA,17,5,1.329,1.329,0.06,0.06,0,0,1,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.alpigena.Fe+secchi_m+Zmax_m","Fe+secchi_m+Zmax_m","s(Fe, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",397.212720792933,406.361823359615,0.25164,NA,17,7,1.852,1.852,0.046,0.046,0,0,0,0,1,0,0,0,1,1,0,0,0
"Aulacoseira.distans.septentrionalis.bare_rock+Mg+Zmax_m","bare_rock+Mg+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",300.619566973389,309.76866954007,0.25463,NA,17,3,0,0,0.256,0.259,0,1,0,0,0,0,0,0,0,1,0,0,1
"Aulacoseira.distans.septentrionalis.bare_rock+Zmax_m","bare_rock+Zmax_m","s(bare_rock, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",300.736617296891,309.936532383916,0.25398,NA,13,1,0.117,0.168,0.242,0.238,0,0,0,0,0,0,0,0,0,1,0,0,1
"Aulacoseira.distans.septentrionalis.Mg+mix_event+Zmax_m","Mg+mix_event+Zmax_m","s(Mg, k = 5, bs = ""cr"") + s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",301.566635287706,310.715737854388,0.07912,NA,17.06,5,0.947,0.947,0.16,0.161,0,1,0,0,0,0,0,1,0,1,0,0,0
"Aulacoseira.distans.septentrionalis.mix_event+Zmax_m","mix_event+Zmax_m","s(mix_event, k = 5, bs = ""cr"") + s(Zmax_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",301.839997018798,311.039912105823,0.08204,NA,13.06,3,1.22,1.271,0.139,0.137,0,0,0,0,0,0,0,1,0,1,0,0,0
