"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","K","Alkalinity","Fe","waterT","lake_catch_ratio","mix_event","secchi_m","Zmax_m","Altitude","wetland","bare_rock"
"Achnanthidium.minutissimum.Fe+Mg+waterT","Fe+Mg+waterT","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",404.030671698788,413.17977426547,0.05193,NA,17,5,24.07,24.07,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Fe+K+Mg","Fe+K+Mg","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",404.055313392857,413.204415959538,0.01271,NA,17,6,24.095,24.095,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Alkalinity+waterT","Alkalinity+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",404.28254143546,413.482456522485,0.02817,NA,13,4,24.322,24.373,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Mg+secchi_m","Mg+secchi_m","s(Mg, k = 5, bs = ""cr"") + s(secchi_m, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",404.582588000612,413.782503087638,0.25571,NA,13,5,24.622,24.673,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"Achnanthidium.minutissimum.bare_rock+Mg","bare_rock+Mg","s(bare_rock, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",404.750259477133,413.950174564158,0.11896,NA,13,5,24.79,24.841,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"Achnanthidium.minutissimum.Fe+K","Fe+K","s(Fe, k = 5, bs = ""cr"") + s(K, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",404.830113879865,414.03002896689,0.01243,NA,13,4,24.87,24.921,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.Fe+waterT","Fe+waterT","s(Fe, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",404.922336754377,414.122251841403,0.04501,NA,13,4,24.962,25.013,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.K+Mg+waterT","K+Mg+waterT","s(K, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",405.181262751623,414.330365318304,0.02323,NA,17,5,25.221,25.221,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
"Achnanthidium.minutissimum.lake_catch_ratio+Mg","lake_catch_ratio+Mg","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",405.451950077845,414.651865164871,0.0033,NA,13,4,25.492,25.543,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"Achnanthidium.minutissimum.Fe+Mg","Fe+Mg","s(Fe, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",405.503964522921,414.703879609946,0.02173,NA,13,3,25.544,25.595,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
