"","modname","formula","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","Ca","Mg","SO4","Alkalinity","Si","Altitude","Fe","erosion_prop","secchi_m","lake_catch_ratio","mix_event","waterT"
"Achnanthidium.affine.Alkalinity+waterT","Alkalinity+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.125652111191,245.325567198216,0.22033,NA,13,4,10.078,10.078,0.001,0.001,0,0,0,1,0,0,0,0,0,0,0,1
"Achnanthidium.affine.Alkalinity+Si","Alkalinity+Si","s(Alkalinity, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.200871014055,245.40078610108,0.19635,NA,13,4,10.153,10.153,0.001,0.001,0,0,0,1,1,0,0,0,0,0,0,0
"Achnanthidium.affine.lake_catch_ratio+Si","lake_catch_ratio+Si","s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.44961765547,245.649532742496,0.26969,NA,13,4,10.402,10.402,0.001,0.001,0,0,0,0,1,0,0,0,0,1,0,0
"Achnanthidium.affine.Ca+Si","Ca+Si","s(Ca, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.481722049671,245.681637136696,0.32988,NA,13,2,10.434,10.434,0.001,0.001,1,0,0,0,1,0,0,0,0,0,0,0
"Achnanthidium.affine.Alkalinity+erosion_prop+waterT","Alkalinity+erosion_prop+waterT","s(Alkalinity, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(waterT, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.516482898811,245.665585465493,0.35057,NA,17,6,10.469,10.418,0.001,0.001,0,0,0,1,0,0,0,1,0,0,0,1
"Achnanthidium.affine.Ca+Fe","Ca+Fe","s(Ca, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.53513958704,245.735054674066,0.28646,NA,13,3,10.488,10.488,0.001,0.001,1,0,0,0,0,0,1,0,0,0,0,0
"Achnanthidium.affine.Fe","Fe","s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.678718897422,245.000875076219,0.2091,NA,9,3,10.631,9.753,0.001,0.001,0,0,0,0,0,0,1,0,0,0,0,0
"Achnanthidium.affine.Alkalinity+erosion_prop+Fe","Alkalinity+erosion_prop+Fe","s(Alkalinity, k = 5, bs = ""cr"") + s(erosion_prop, k = 5, bs = ""cr"") + s(Fe, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.788581510439,245.937684077121,0.36174,NA,17,7,10.741,10.69,0.001,0.001,0,0,0,1,0,0,1,1,0,0,0,0
"Achnanthidium.affine.mix_event+Si","mix_event+Si","s(mix_event, k = 5, bs = ""cr"") + s(Si, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.9004156661,246.100330753126,0.22578,NA,13,2,10.853,10.853,0.001,0.001,0,0,0,0,1,0,0,0,0,0,1,0
"Achnanthidium.affine.erosion_prop+lake_catch_ratio+Mg","erosion_prop+lake_catch_ratio+Mg","s(erosion_prop, k = 5, bs = ""cr"") + s(lake_catch_ratio, k = 5, bs = ""cr"") + s(Mg, k = 5, bs = ""cr"") + s(Latitude, Longitude, k = 5)",236.949165319461,246.098267886142,0.45414,NA,17,8,10.902,10.851,0.001,0.001,0,1,0,0,0,0,0,1,0,1,0,0
